State,Year,Quater,Insurance_count,Insurance_amount
andaman-&-nicobar-islands,2020,2,6,1360.0
andaman-&-nicobar-islands,2020,3,41,15380.0
andaman-&-nicobar-islands,2020,4,124,157975.0
andaman-&-nicobar-islands,2021,1,225,244266.0
andaman-&-nicobar-islands,2021,2,137,181504.0
andaman-&-nicobar-islands,2021,3,230,305235.0
andaman-&-nicobar-islands,2021,4,757,1056380.0
andaman-&-nicobar-islands,2022,1,768,1131287.0
andaman-&-nicobar-islands,2022,2,501,779740.0
andaman-&-nicobar-islands,2022,3,643,902466.0
andaman-&-nicobar-islands,2022,4,901,1441210.0
andaman-&-nicobar-islands,2023,1,1004,1439198.0
andaman-&-nicobar-islands,2023,2,768,1233395.0
andaman-&-nicobar-islands,2023,3,795,1251145.0
andaman-&-nicobar-islands,2023,4,1145,1757821.0
andhra-pradesh,2020,2,22104,3982391.0
andhra-pradesh,2020,3,49812,12426481.0
andhra-pradesh,2020,4,21464,12985632.0
andhra-pradesh,2021,1,22105,12749874.0
andhra-pradesh,2021,2,33205,22730687.0
andhra-pradesh,2021,3,23075,19914338.0
andhra-pradesh,2021,4,25423,31610335.0
andhra-pradesh,2022,1,29954,42648157.0
andhra-pradesh,2022,2,32185,41708072.0
andhra-pradesh,2022,3,39301,48791931.0
andhra-pradesh,2022,4,44329,58043239.0
andhra-pradesh,2023,1,34920,51963355.0
andhra-pradesh,2023,2,36376,52067478.0
andhra-pradesh,2023,3,43150,57802396.0
andhra-pradesh,2023,4,41798,62342423.0
arunachal-pradesh,2020,2,65,14329.0
arunachal-pradesh,2020,3,135,39687.0
arunachal-pradesh,2020,4,125,84247.0
arunachal-pradesh,2021,1,194,131611.0
arunachal-pradesh,2021,2,204,224928.0
arunachal-pradesh,2021,3,212,371051.0
arunachal-pradesh,2021,4,320,598459.0
arunachal-pradesh,2022,1,355,894107.0
arunachal-pradesh,2022,2,564,1360231.0
arunachal-pradesh,2022,3,510,1300304.0
arunachal-pradesh,2022,4,613,1464572.0
arunachal-pradesh,2023,1,606,1747475.0
arunachal-pradesh,2023,2,696,2095988.0
arunachal-pradesh,2023,3,718,1904786.0
arunachal-pradesh,2023,4,809,2105408.0
assam,2020,2,978,210034.0
assam,2020,3,2206,599450.0
assam,2020,4,2413,1806801.0
assam,2021,1,3167,2334419.0
assam,2021,2,3265,3008122.0
assam,2021,3,4495,6010865.0
assam,2021,4,8622,13962068.0
assam,2022,1,16230,27447766.0
assam,2022,2,9228,15357811.0
assam,2022,3,14149,22543564.0
assam,2022,4,18826,29239168.0
assam,2023,1,22100,36963888.0
assam,2023,2,16475,28368139.0
assam,2023,3,22593,35618158.0
assam,2023,4,23168,38731734.0
bihar,2020,2,2816,595621.0
bihar,2020,3,9733,2161102.0
bihar,2020,4,9913,7860932.0
bihar,2021,1,12554,8796619.0
bihar,2021,2,14301,13301581.0
bihar,2021,3,18030,18234941.0
bihar,2021,4,22456,27313813.0
bihar,2022,1,20253,27755736.0
bihar,2022,2,21892,28212833.0
bihar,2022,3,28511,34704251.0
bihar,2022,4,33895,43914519.0
bihar,2023,1,26929,38746711.0
bihar,2023,2,29212,40354886.0
bihar,2023,3,36550,45832355.0
bihar,2023,4,41447,57624322.0
chandigarh,2020,2,149,29537.0
chandigarh,2020,3,264,70969.0
chandigarh,2020,4,200,153341.0
chandigarh,2021,1,338,238576.0
chandigarh,2021,2,378,310943.0
chandigarh,2021,3,494,469634.0
chandigarh,2021,4,710,835813.0
chandigarh,2022,1,792,1150932.0
chandigarh,2022,2,1330,1874959.0
chandigarh,2022,3,1533,1998439.0
chandigarh,2022,4,1403,2024528.0
chandigarh,2023,1,1520,2415574.0
chandigarh,2023,2,1704,2501107.0
chandigarh,2023,3,1883,2660630.0
chandigarh,2023,4,1767,3053934.0
chhattisgarh,2020,2,1346,279005.0
chhattisgarh,2020,3,4702,1393656.0
chhattisgarh,2020,4,3757,2249901.0
chhattisgarh,2021,1,4712,2620468.0
chhattisgarh,2021,2,5055,3813417.0
chhattisgarh,2021,3,4676,3568837.0
