State,District,Year,Quater,Insurance_count,Insurance_amount
andaman-&-nicobar-islands,south andaman district,2020,2,3,795.0
andaman-&-nicobar-islands,nicobars district,2020,2,3,565.0
andaman-&-nicobar-islands,north and middle andaman district,2020,3,1,281.0
andaman-&-nicobar-islands,south andaman district,2020,3,35,13651.0
andaman-&-nicobar-islands,nicobars district,2020,3,5,1448.0
andaman-&-nicobar-islands,north and middle andaman district,2020,4,13,17734.0
andaman-&-nicobar-islands,south andaman district,2020,4,109,137494.0
andaman-&-nicobar-islands,nicobars district,2020,4,2,2747.0
andaman-&-nicobar-islands,north and middle andaman district,2021,1,48,63978.0
andaman-&-nicobar-islands,south andaman district,2021,1,164,167044.0
andaman-&-nicobar-islands,nicobars district,2021,1,13,13244.0
andaman-&-nicobar-islands,north and middle andaman district,2021,2,28,45311.0
andaman-&-nicobar-islands,south andaman district,2021,2,105,121104.0
andaman-&-nicobar-islands,nicobars district,2021,2,4,15089.0
andaman-&-nicobar-islands,north and middle andaman district,2021,3,33,50997.0
andaman-&-nicobar-islands,south andaman district,2021,3,182,223699.0
andaman-&-nicobar-islands,nicobars district,2021,3,15,30539.0
andaman-&-nicobar-islands,north and middle andaman district,2021,4,81,182061.0
andaman-&-nicobar-islands,south andaman district,2021,4,632,800758.0
andaman-&-nicobar-islands,nicobars district,2021,4,44,73561.0
andaman-&-nicobar-islands,north and middle andaman district,2022,1,48,85229.0
andaman-&-nicobar-islands,south andaman district,2022,1,692,982206.0
andaman-&-nicobar-islands,nicobars district,2022,1,28,63852.0
andaman-&-nicobar-islands,north and middle andaman district,2022,2,45,90403.0
andaman-&-nicobar-islands,south andaman district,2022,2,430,633029.0
andaman-&-nicobar-islands,nicobars district,2022,2,26,56308.0
andaman-&-nicobar-islands,north and middle andaman district,2022,3,70,129013.0
andaman-&-nicobar-islands,south andaman district,2022,3,535,687813.0
andaman-&-nicobar-islands,nicobars district,2022,3,38,85640.0
andaman-&-nicobar-islands,north and middle andaman district,2022,4,112,224198.0
andaman-&-nicobar-islands,south andaman district,2022,4,750,1114857.0
andaman-&-nicobar-islands,nicobars district,2022,4,39,102155.0
andaman-&-nicobar-islands,north and middle andaman district,2023,1,85,178969.0
andaman-&-nicobar-islands,south andaman district,2023,1,872,1172083.0
andaman-&-nicobar-islands,nicobars district,2023,1,47,88146.0
andaman-&-nicobar-islands,north and middle andaman district,2023,2,56,109742.0
andaman-&-nicobar-islands,south andaman district,2023,2,670,1060976.0
andaman-&-nicobar-islands,nicobars district,2023,2,42,62677.0
andaman-&-nicobar-islands,north and middle andaman district,2023,3,77,133536.0
