State,District,Year,Quater,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,north and middle andaman district,2018,1,442,931663.0770939873
andaman-&-nicobar-islands,south andaman district,2018,1,5688,12560249.34366581
andaman-&-nicobar-islands,nicobars district,2018,1,528,1139848.801225994
andaman-&-nicobar-islands,north and middle andaman district,2018,2,825,1317863.0834906558
andaman-&-nicobar-islands,south andaman district,2018,2,9395,23948235.51634325
andaman-&-nicobar-islands,nicobars district,2018,2,1120,3072436.9081196385
andaman-&-nicobar-islands,north and middle andaman district,2018,3,1283,4901529.518499676
andaman-&-nicobar-islands,south andaman district,2018,3,13511,44268112.46425246
andaman-&-nicobar-islands,nicobars district,2018,3,1471,6387829.151558982
andaman-&-nicobar-islands,north and middle andaman district,2018,4,2137,7955635.917688001
andaman-&-nicobar-islands,south andaman district,2018,4,20136,75411840.8018554
andaman-&-nicobar-islands,nicobars district,2018,4,1485,7180859.354911782
andaman-&-nicobar-islands,north and middle andaman district,2019,1,3264,9561708.736298349
andaman-&-nicobar-islands,south andaman district,2019,1,25683,85501972.38780196
andaman-&-nicobar-islands,nicobars district,2019,1,1539,7236059.549389593
andaman-&-nicobar-islands,north and middle andaman district,2019,2,3371,8612103.137888122
andaman-&-nicobar-islands,south andaman district,2019,2,28490,102530955.71341258
andaman-&-nicobar-islands,nicobars district,2019,2,1828,9111650.82436246
andaman-&-nicobar-islands,north and middle andaman district,2019,3,4049,11481466.283356793
andaman-&-nicobar-islands,south andaman district,2019,3,27421,91023888.32848613
andaman-&-nicobar-islands,nicobars district,2019,3,2300,11566421.475451011
andaman-&-nicobar-islands,north and middle andaman district,2019,4,4716,13524056.784573946
andaman-&-nicobar-islands,south andaman district,2019,4,27843,110930312.20611623
andaman-&-nicobar-islands,nicobars district,2019,4,2600,12384161.52668771
andaman-&-nicobar-islands,north and middle andaman district,2020,1,5674,14697371.617857102
andaman-&-nicobar-islands,south andaman district,2020,1,32713,134679396.90582755
andaman-&-nicobar-islands,nicobars district,2020,1,2911,12099543.773590054
andaman-&-nicobar-islands,north and middle andaman district,2020,2,10979,22447714.061058953
andaman-&-nicobar-islands,south andaman district,2020,2,48088,132855778.74838585
andaman-&-nicobar-islands,nicobars district,2020,2,3895,14341508.60470232
andaman-&-nicobar-islands,north and middle andaman district,2020,3,16747,33486883.370425556
andaman-&-nicobar-islands,south andaman district,2020,3,95323,282366109.20523936
andaman-&-nicobar-islands,nicobars district,2020,3,5413,22166453.754695386
andaman-&-nicobar-islands,north and middle andaman district,2020,4,29349,68941322.38839513
andaman-&-nicobar-islands,south andaman district,2020,4,186494,523122462.88302904
andaman-&-nicobar-islands,nicobars district,2020,4,8688,35218871.04342849
andaman-&-nicobar-islands,north and middle andaman district,2021,1,27358,75027255.27919498
andaman-&-nicobar-islands,south andaman district,2021,1,207092,669604045.1248703
andaman-&-nicobar-islands,nicobars district,2021,1,10302,39075266.9856904
andaman-&-nicobar-islands,north and middle andaman district,2021,2,39200,90233388.79463302
andaman-&-nicobar-islands,south andaman district,2021,2,286907,760893020.5704944
andaman-&-nicobar-islands,nicobars district,2021,2,15307,48020606.74716837
andaman-&-nicobar-islands,north and middle andaman district,2021,3,46592,118254865.82750683
andaman-&-nicobar-islands,south andaman district,2021,3,382418,1116789010.6459613
andaman-&-nicobar-islands,nicobars district,2021,3,20754,74980519.3281361
andaman-&-nicobar-islands,north and middle andaman district,2021,4,53115,156486112.28732437
andaman-&-nicobar-islands,south andaman district,2021,4,558571,1694794708.0093334
andaman-&-nicobar-islands,nicobars district,2021,4,24437,81329281.0269996
andaman-&-nicobar-islands,north and middle andaman district,2022,1,60059,161624878.52274162
andaman-&-nicobar-islands,south andaman district,2022,1,705512,1872991195.902684
andaman-&-nicobar-islands,nicobars district,2022,1,29177,94414127.64974089
andaman-&-nicobar-islands,north and middle andaman district,2022,2,72573,195693167.78757268
andaman-&-nicobar-islands,south andaman district,2022,2,954875,2357326563.362071
andaman-&-nicobar-islands,nicobars district,2022,2,43769,132900618.93062323
andaman-&-nicobar-islands,north and middle andaman district,2022,3,79574,211581970.34202656
andaman-&-nicobar-islands,south andaman district,2022,3,1455255,2967719400.849909
andaman-&-nicobar-islands,nicobars district,2022,3,49550,131330400.94545083
andaman-&-nicobar-islands,north and middle andaman district,2022,4,93297,241431284.3558103
andaman-&-nicobar-islands,south andaman district,2022,4,1835592,3600887266.099448
andaman-&-nicobar-islands,nicobars district,2022,4,58646,142355853.97352526
andaman-&-nicobar-islands,north and middle andaman district,2023,1,152187,392080332.0
andaman-&-nicobar-islands,south andaman district,2023,1,2030078,3867385426.0
andaman-&-nicobar-islands,nicobars district,2023,1,94127,202062829.0
andaman-&-nicobar-islands,north and middle andaman district,2023,2,181149,462414675.0
