State,District,Pincode,Year,Quater,Ins_dist_count,Ins_dist_amount,Ins_pincode_count,Ins_pincode_amount
andaman-&-nicobar-islands,nicobars,744301,2020,2,3,565.0,3,565.0
andaman-&-nicobar-islands,south andaman,744112,2020,3,35,13651.0,9,3432.0
andaman-&-nicobar-islands,south andaman,744105,2020,4,109,137494.0,25,25659.0
andaman-&-nicobar-islands,south andaman,744105,2021,1,164,167044.0,47,53060.0
andaman-&-nicobar-islands,south andaman,744103,2021,2,105,121104.0,36,33716.0
andaman-&-nicobar-islands,south andaman,744105,2021,3,182,223699.0,70,82425.0
andaman-&-nicobar-islands,south andaman,744105,2021,4,632,800758.0,194,232344.0
andaman-&-nicobar-islands,south andaman,744103,2022,1,692,982206.0,174,226181.0
andaman-&-nicobar-islands,south andaman,744103,2022,2,430,633029.0,97,156861.0
andaman-&-nicobar-islands,south andaman,744103,2022,3,535,687813.0,151,198569.0
andaman-&-nicobar-islands,south andaman,744103,2022,4,750,1114857.0,199,299036.0
andaman-&-nicobar-islands,south andaman,744103,2023,1,872,1172083.0,236,286594.0
andaman-&-nicobar-islands,south andaman,744103,2023,2,670,1060976.0,171,341853.0
andaman-&-nicobar-islands,south andaman,744103,2023,3,682,1052324.0,191,306744.0
andaman-&-nicobar-islands,south andaman,744103,2023,4,1006,1504528.0,268,415144.0
andhra-pradesh,visakhapatnam,515001,2020,2,3504,614212.0,540,86088.0
andhra-pradesh,visakhapatnam,535003,2020,3,7906,1892376.0,968,195870.0
andhra-pradesh,visakhapatnam,515001,2020,4,3464,2203761.0,292,120291.0
andhra-pradesh,visakhapatnam,530016,2021,1,4006,2403199.0,287,144342.0
andhra-pradesh,prakasam,523002,2021,2,5308,2719134.0,1409,631953.0
andhra-pradesh,visakhapatnam,520010,2021,3,4044,3191769.0,299,246736.0
andhra-pradesh,visakhapatnam,524004,2021,4,4176,5425896.0,568,468698.0
andhra-pradesh,visakhapatnam,523001,2022,1,5196,6953446.0,501,553651.0
andhra-pradesh,visakhapatnam,520010,2022,2,5851,7046107.0,394,411471.0
andhra-pradesh,visakhapatnam,524002,2022,3,6720,7779967.0,485,506293.0
andhra-pradesh,visakhapatnam,517507,2022,4,7636,9911879.0,596,856272.0
andhra-pradesh,visakhapatnam,517507,2023,1,6752,9502319.0,468,848915.0
andhra-pradesh,visakhapatnam,517507,2023,2,7000,8910217.0,616,969092.0
andhra-pradesh,visakhapatnam,517507,2023,3,8972,11107138.0,681,926705.0
andhra-pradesh,visakhapatnam,530016,2023,4,8787,12027284.0,563,837356.0
arunachal-pradesh,papum pare,791113,2020,2,33,6304.0,21,3445.0
arunachal-pradesh,papum pare,791110,2020,3,60,15776.0,21,4213.0
arunachal-pradesh,papum pare,791113,2020,4,48,21298.0,18,5383.0
arunachal-pradesh,papum pare,791110,2021,1,65,62651.0,21,32836.0
arunachal-pradesh,papum pare,791110,2021,2,69,89335.0,26,14352.0
arunachal-pradesh,papum pare,791001,2021,3,50,95368.0,21,57300.0
arunachal-pradesh,papum pare,791110,2021,4,128,232985.0,44,84245.0
arunachal-pradesh,papum pare,791111,2022,1,149,339981.0,51,124161.0
arunachal-pradesh,papum pare,791110,2022,2,310,752159.0,97,272742.0
arunachal-pradesh,papum pare,791111,2022,3,250,590296.0,98,283474.0
arunachal-pradesh,papum pare,791111,2022,4,249,557453.0,86,169298.0
arunachal-pradesh,papum pare,791110,2023,1,214,609907.0,74,172651.0
arunachal-pradesh,papum pare,791110,2023,2,261,767297.0,94,280971.0
arunachal-pradesh,papum pare,791110,2023,3,285,696186.0,91,197412.0
arunachal-pradesh,papum pare,791110,2023,4,318,852980.0,106,279822.0
assam,kamrup metropolitan,781022,2020,2,388,73071.0,36,6530.0
assam,kamrup metropolitan,781032,2020,3,698,186125.0,84,19733.0
assam,kamrup metropolitan,781032,2020,4,626,534531.0,57,43429.0
assam,kamrup metropolitan,781022,2021,1,909,638404.0,81,81773.0
assam,kamrup metropolitan,781032,2021,2,910,790743.0,79,47103.0
assam,kamrup metropolitan,781032,2021,3,1130,1219595.0,121,117986.0
assam,kamrup metropolitan,781032,2021,4,2250,2848340.0,166,209584.0
assam,kamrup metropolitan,781032,2022,1,3580,5037571.0,277,421464.0
assam,kamrup metropolitan,781022,2022,2,2330,3272854.0,181,236099.0
assam,kamrup metropolitan,781032,2022,3,3502,4613053.0,288,333196.0
assam,kamrup metropolitan,781032,2022,4,5835,7067068.0,386,453000.0
