State,District,Pincode,Year,Quater,Trans_dist_count,Trans_dist_amount,Trans_pincode_count,Trans_pincode_amount
andaman-&-nicobar-islands,south andaman,744101,2018,1,5688,12560249.343665812,1622,2769297.9039997994
andaman-&-nicobar-islands,south andaman,744101,2018,2,9395,23948235.51634325,2701,6310089.917084678
andaman-&-nicobar-islands,south andaman,744101,2018,3,13511,44268112.46425246,3462,10833893.444488766
andaman-&-nicobar-islands,south andaman,744101,2018,4,20136,75411840.8018554,4674,16392855.280625317
andaman-&-nicobar-islands,south andaman,744103,2019,1,25683,85501972.38780196,5742,19401964.77965755
andaman-&-nicobar-islands,south andaman,744104,2019,2,28490,102530955.71341258,6142,15625676.560883244
andaman-&-nicobar-islands,south andaman,744103,2019,3,27421,91023888.32848613,5680,19906337.014255583
andaman-&-nicobar-islands,south andaman,744104,2019,4,27843,110930312.20611623,6633,20626642.701508522
andaman-&-nicobar-islands,south andaman,744101,2020,1,32713,134679396.90582758,11793,58229349.02415232
andaman-&-nicobar-islands,south andaman,744101,2020,2,48088,132855778.74838585,11868,48293323.21851964
andaman-&-nicobar-islands,south andaman,744101,2020,3,95323,282366109.20523936,24386,100439119.66860783
andaman-&-nicobar-islands,south andaman,744103,2020,4,186494,523122462.883029,46884,138264791.5489212
andaman-&-nicobar-islands,south andaman,744101,2021,1,207092,669604045.1248703,55726,190830957.0606181
andaman-&-nicobar-islands,south andaman,744101,2021,2,286907,760893020.5704947,73334,227585492.7414593
andaman-&-nicobar-islands,south andaman,744101,2021,3,382418,1116789010.6459613,116324,388328168.7639693
andaman-&-nicobar-islands,south andaman,744101,2021,4,558571,1694794708.0093331,165719,533026207.9731797
andaman-&-nicobar-islands,south andaman,744101,2022,1,705512,1872991195.902684,209941,615978080.6944855
andaman-&-nicobar-islands,south andaman,744101,2022,2,954875,2357326563.362071,252722,702122365.3629664
andaman-&-nicobar-islands,south andaman,744104,2022,3,1455255,2967719400.8499093,497273,951370315.4090765
andaman-&-nicobar-islands,south andaman,744104,2022,4,1835592,3600887266.099448,684366,1309407988.2902
andaman-&-nicobar-islands,south andaman,744103,2023,1,2030078,3867385426.0,503053,969594706.0
andaman-&-nicobar-islands,south andaman,744103,2023,2,2417058,4297737197.0,597774,1119274409.0
andaman-&-nicobar-islands,south andaman,744103,2023,3,2771397,4462201588.0,697625,1158992204.0
andaman-&-nicobar-islands,south andaman,744103,2023,4,3311962,5417264997.0,817988,1376084403.0
andhra-pradesh,visakhapatnam,517501,2018,1,1256469,1749966196.5049949,110496,163487278.84449506
andhra-pradesh,visakhapatnam,517501,2018,2,1641192,2987853607.2939095,165506,305629373.15863353
andhra-pradesh,visakhapatnam,518502,2018,3,3394576,4821892253.393524,1300146,709765829.9649723
andhra-pradesh,visakhapatnam,518502,2018,4,4791421,7366635864.849373,441662,332201263.2829269
andhra-pradesh,visakhapatnam,530001,2019,1,9690866,13459857440.552685,950821,1529039457.6419592
andhra-pradesh,visakhapatnam,530001,2019,2,11705738,20797479804.029076,2602865,5218795715.70141
andhra-pradesh,visakhapatnam,530001,2019,3,16694947,26944837120.046288,2944756,6693257653.901131
andhra-pradesh,visakhapatnam,530001,2019,4,23594874,39133296330.04462,4185063,9160387223.4497
andhra-pradesh,visakhapatnam,530026,2020,1,27115031,48809747614.678894,6695271,15258657486.862274
andhra-pradesh,visakhapatnam,530026,2020,2,25300401,48293889917.41437,4994637,12817902607.017586
andhra-pradesh,visakhapatnam,524002,2020,3,34421299,67628440368.111465,5194663,13718743729.17845
andhra-pradesh,visakhapatnam,524002,2020,4,46551467,91879823025.40399,5029692,12810644736.250324
andhra-pradesh,visakhapatnam,524002,2021,1,48248923,95308386037.84721,7269657,16698428355.239132
andhra-pradesh,visakhapatnam,524002,2021,2,54390299,114439012713.35336,11023032,25519404146.52658
andhra-pradesh,visakhapatnam,524002,2021,3,69220981,136945652159.26517,10701326,23300508690.71216
andhra-pradesh,visakhapatnam,524002,2021,4,82711538,159530099772.73474,14158439,30358274591.367683
andhra-pradesh,visakhapatnam,524002,2022,1,88233362,170120350591.26004,16133298,35123754551.39544
andhra-pradesh,visakhapatnam,524002,2022,2,101387402,193242841582.14282,18822839,40556750377.6809
andhra-pradesh,visakhapatnam,530026,2022,3,97434546,181124419863.61444,10427710,24452749355.343765
andhra-pradesh,visakhapatnam,530026,2022,4,103790055,185306149744.73105,10249750,23326515677.88234
andhra-pradesh,visakhapatnam,517501,2023,1,164358781,277211090180.0,15726677,25326343019.0
andhra-pradesh,visakhapatnam,517501,2023,2,184918179,303874597259.0,17533692,27847769343.0
andhra-pradesh,visakhapatnam,517501,2023,3,209884966,328927220951.0,19950308,30481660225.0
andhra-pradesh,visakhapatnam,517501,2023,4,223584765,344512874812.0,20947807,31651864587.0
arunachal-pradesh,papum pare,791110,2018,1,14224,32555848.462331478,4253,8605127.65004581
arunachal-pradesh,papum pare,791110,2018,2,25363,66520931.20355793,7878,19894634.32236063
arunachal-pradesh,papum pare,791110,2018,3,43282,101080479.2917223,13489,28577947.494984522
arunachal-pradesh,papum pare,791110,2018,4,55224,154875448.20778143,18305,50770919.03443284
arunachal-pradesh,papum pare,791110,2019,1,70941,188556716.3567257,21769,56305175.15742187
arunachal-pradesh,papum pare,791110,2019,2,86433,246640891.34861866,28827,80501052.65730712
arunachal-pradesh,papum pare,791110,2019,3,117940,301518075.7016427,38560,104152420.6903958
arunachal-pradesh,papum pare,791110,2019,4,143272,378838002.3434037,46210,135166318.90100121
arunachal-pradesh,papum pare,791110,2020,1,180373,457430754.15953165,53858,134164730.89583132
arunachal-pradesh,papum pare,791110,2020,2,221728,535085907.3404856,66660,161486745.43774873
arunachal-pradesh,papum pare,791113,2020,3,298350,859373863.7202578,85276,286434881.1365983
arunachal-pradesh,papum pare,791110,2020,4,390528,1205917753.7046227,115682,355243299.60706156
arunachal-pradesh,papum pare,791113,2021,1,419891,1388723426.7156572,127025,394958954.74942803
arunachal-pradesh,papum pare,791113,2021,2,552953,1501062555.477559,170268,432196673.5193349
arunachal-pradesh,papum pare,791113,2021,3,710098,1995999756.3372893,225427,582965112.523323
arunachal-pradesh,papum pare,791113,2021,4,919925,2435796597.1781564,279958,685093585.2469286
arunachal-pradesh,papum pare,791113,2022,1,1163726,2909248438.629796,336780,819363323.7219163
arunachal-pradesh,papum pare,791110,2022,2,1444757,3269917296.5595775,449672,1063144517.2715561
arunachal-pradesh,papum pare,791110,2022,3,1651143,3211809407.131925,493396,989512226.2480668
arunachal-pradesh,papum pare,791110,2022,4,1917365,3401999228.93926,579246,1065690345.4630343
arunachal-pradesh,papum pare,791110,2023,1,3302746,5900429571.0,1008590,1865632904.0
arunachal-pradesh,papum pare,791110,2023,2,4245307,7148674913.0,1284096,2250046634.0
arunachal-pradesh,papum pare,791110,2023,3,5410471,7595971259.0,1661134,2365086913.0
arunachal-pradesh,papum pare,791110,2023,4,5938599,8374060439.0,1837445,2669223628.0
assam,kamrup metropolitan,782127,2018,1,194617,284766218.98487484,36278,55685104.31004669
assam,kamrup metropolitan,782127,2018,2,320417,548619364.2308466,48384,116170095.69804743
assam,kamrup metropolitan,781010,2018,3,476050,884121118.8280818,53744,63112506.38368155
assam,kamrup metropolitan,782123,2018,4,686010,1345451492.4344451,191097,40365958.68121323
assam,kamrup metropolitan,781010,2019,1,1306775,2605380335.9221573,503839,1078124661.8328056
assam,kamrup metropolitan,781010,2019,2,2488968,5089657876.792284,1651072,3400967170.8048086
assam,kamrup metropolitan,781010,2019,3,2188998,6080999088.202992,1013793,3958005278.9310026
assam,kamrup metropolitan,781010,2019,4,2510384,7206165641.817837,1082582,4255353965.453718
assam,kamrup metropolitan,781009,2020,1,3338601,10080547554.265474,1780036,7174086430.866011
assam,kamrup metropolitan,781009,2020,2,2543890,7190215278.036329,1192185,4778567764.009242
assam,kamrup metropolitan,781009,2020,3,4268591,13346088870.114109,2659242,10013749462.54474
assam,kamrup metropolitan,781009,2020,4,5300547,16105922899.456022,2706533,10280991607.128572
assam,kamrup metropolitan,781009,2021,1,9400818,24003716533.697937,6524270,17428233384.59051
assam,kamrup metropolitan,781009,2021,2,12113618,26948905679.32876,9152474,20665273162.818207
assam,kamrup metropolitan,781009,2021,3,16840668,36123082534.66112,12729978,27464031964.343338
assam,kamrup metropolitan,781009,2021,4,22903930,48177919267.36949,16779607,36391151860.79283
assam,kamrup metropolitan,781009,2022,1,28908435,60093746992.89225,21143287,46189827357.81514
assam,kamrup metropolitan,781009,2022,2,37896005,70515346667.22394,27909097,54262481044.38667
assam,kamrup metropolitan,781013,2022,3,39606017,69410860235.2296,23740033,43477837025.4255
assam,kamrup metropolitan,781013,2022,4,48873033,84183380553.41818,35940014,65266942297.03035
assam,kamrup metropolitan,781022,2023,1,22957420,32177527551.0,1749029,2342279502.0
assam,kamrup metropolitan,781022,2023,2,27633429,36066525702.0,2063166,2562924738.0
assam,kamrup metropolitan,781022,2023,3,33252533,38969448090.0,2491926,2811683722.0
assam,kamrup metropolitan,781022,2023,4,35741066,42066992122.0,2640320,3002470389.0
bihar,patna,800006,2018,1,1197281,1282492050.6392517,212121,159171214.37736017
bihar,patna,800006,2018,2,1650942,2328839155.6378717,289074,284053574.9517867
bihar,patna,800006,2018,3,3360157,3873142430.776816,665118,534610346.8106643
bihar,patna,800006,2018,4,3256138,4907266831.02173,609082,621980077.1833534
bihar,patna,800015,2019,1,7894598,11217940482.124462,3028480,5194115440.272243
bihar,patna,800015,2019,2,13421445,26125484618.416542,9362673,19331794343.882797
bihar,patna,800015,2019,3,13404838,29128507191.150093,8554034,21451659382.23745
bihar,patna,800015,2019,4,17235243,37707384360.64211,10441675,26228173437.467873
bihar,patna,800001,2020,1,15560992,39935619593.17576,10678852,31286535937.050377
bihar,patna,800001,2020,2,13807801,37859920784.96573,9603835,29875811977.924404
bihar,patna,800001,2020,3,20716631,53687192629.51601,14656027,41210183921.21666
bihar,patna,800001,2020,4,24443301,59562106826.23723,14983099,39976507362.546104
bihar,patna,800001,2021,1,41272981,88998693556.23962,30937663,68071234953.67711
bihar,patna,800001,2021,2,53400850,114936398151.99364,42836603,91781680811.21814
bihar,patna,800001,2021,3,65085179,120377977089.17227,49086869,90644799090.2764
bihar,patna,800001,2021,4,81765610,151293164596.91888,61784983,113485175570.40103
bihar,patna,800001,2022,1,91217400,170738998652.74045,68427326,126972470461.14954
bihar,patna,800001,2022,2,119754430,215948701155.29102,90260337,162195041186.36072
bihar,patna,800001,2022,3,188665398,298860414441.2887,143978604,226644911906.22284
bihar,patna,800001,2022,4,217434851,352393762150.454,167166031,269652534972.60126
bihar,patna,800001,2023,1,69820541,112520666995.0,12179084,18175841558.0
bihar,patna,800001,2023,2,86311917,130723225180.0,14924753,20861625980.0
bihar,patna,800001,2023,3,98013455,132269181273.0,17490601,21966069342.0
bihar,patna,800001,2023,4,107884364,150536099493.0,18638266,24011379591.0
chandigarh,chandigarh,160008,2018,1,381895,613435420.8676233,204745,303482049.9617378
chandigarh,chandigarh,160008,2018,2,479084,961223261.74473,219223,426354525.80047756
chandigarh,chandigarh,160008,2018,3,616936,1369354447.5343118,266799,565737482.4917
chandigarh,chandigarh,160008,2018,4,905116,2032591591.779975,396339,895353190.2196677
chandigarh,chandigarh,160008,2019,1,1274476,2396032050.444029,574769,1069931934.1313274
chandigarh,chandigarh,160008,2019,2,1252470,2693116098.9444556,515736,1195330472.0624313
chandigarh,chandigarh,160008,2019,3,1506543,3269682087.660841,463581,1411083644.7822614
chandigarh,chandigarh,160008,2019,4,1850915,4152513817.939354,635340,1899718879.7545958
chandigarh,chandigarh,160008,2020,1,2262511,5126453070.016205,925287,2724066380.956586
chandigarh,chandigarh,160008,2020,2,1528010,3847015729.690074,672280,2213962955.141224
chandigarh,chandigarh,160008,2020,3,2158086,5089809353.36507,813514,2456075017.244974
chandigarh,chandigarh,160008,2020,4,2912716,6146762901.349346,781840,2246493451.2564173
chandigarh,chandigarh,160008,2021,1,3970237,7596420859.545994,1566609,3447517923.578706
chandigarh,chandigarh,160008,2021,2,4417547,8417673939.9361,2071075,4384400680.30583
chandigarh,chandigarh,160008,2021,3,6649378,11815883004.693304,3188488,6339628467.33528
chandigarh,chandigarh,160008,2021,4,7898903,14373583510.61845,3712842,7784850283.688998
chandigarh,chandigarh,160008,2022,1,8600491,15174991549.840002,4148686,8330831723.251343
chandigarh,chandigarh,160008,2022,2,10772489,17283500158.371002,5059490,9258542053.288263
chandigarh,chandigarh,160017,2022,3,13478173,20559757737.405857,7220428,11604475020.322536
chandigarh,chandigarh,160017,2022,4,17904840,27879754566.939415,11852317,19715037296.288975
chandigarh,chandigarh,160101,2023,1,9815605,12824894394.0,1363035,1722766828.0
chandigarh,chandigarh,160101,2023,2,11553687,14414408750.0,1640989,1961492257.0
chandigarh,chandigarh,160101,2023,3,13052165,15426783311.0,1850021,2037254367.0
chandigarh,chandigarh,160101,2023,4,13280078,16281223001.0,1928344,2227861078.0
chhattisgarh,raipur,495660,2018,1,323570,474633363.8981755,109908,139116923.36929727
chhattisgarh,raipur,495660,2018,2,470127,841704574.3248034,248699,378210292.7923543
chhattisgarh,raipur,495660,2018,3,659871,1235190303.9525878,353580,492966965.6574571
chhattisgarh,raipur,495660,2018,4,891868,1740861108.0445876,377913,599714593.9068495
chhattisgarh,raipur,492009,2019,1,1847370,2956050311.7861857,593305,948729929.1277255
chhattisgarh,raipur,492009,2019,2,3068366,5288462569.173023,1670111,2947453940.1383486
chhattisgarh,raipur,492009,2019,3,3977297,6485603479.074835,1843301,3497211746.9583116
chhattisgarh,raipur,492009,2019,4,5644383,9527539915.79604,2807708,5488409197.56369
chhattisgarh,raipur,492009,2020,1,7165357,12890786407.130106,3832879,8107114729.270458
