State,District,Pincode,Year,Quater,User_dist_count,User_pincode_count
andaman-&-nicobar-islands,south andaman,744103,2018,1,5846,1608
andaman-&-nicobar-islands,south andaman,744103,2018,2,8143,2188
andaman-&-nicobar-islands,south andaman,744103,2018,3,10474,2741
andaman-&-nicobar-islands,south andaman,744103,2018,4,13133,3373
andaman-&-nicobar-islands,south andaman,744103,2019,1,15961,4136
andaman-&-nicobar-islands,south andaman,744103,2019,2,18621,4748
andaman-&-nicobar-islands,south andaman,744103,2019,3,20518,5218
andaman-&-nicobar-islands,south andaman,744103,2019,4,22202,5637
andaman-&-nicobar-islands,south andaman,744103,2020,1,24174,6108
andaman-&-nicobar-islands,south andaman,744103,2020,2,27626,6804
andaman-&-nicobar-islands,south andaman,744103,2020,3,34833,8318
andaman-&-nicobar-islands,south andaman,744103,2020,4,43908,10408
andaman-&-nicobar-islands,south andaman,744103,2021,1,48352,11416
andaman-&-nicobar-islands,south andaman,744103,2021,2,51903,12268
andaman-&-nicobar-islands,south andaman,744103,2021,3,55873,13198
andaman-&-nicobar-islands,south andaman,744103,2021,4,59807,14127
andaman-&-nicobar-islands,south andaman,744103,2022,1,63487,15011
andaman-&-nicobar-islands,south andaman,744103,2022,2,66959,15799
andaman-&-nicobar-islands,south andaman,744103,2022,3,70445,16666
andaman-&-nicobar-islands,south andaman,744103,2022,4,73692,17406
andaman-&-nicobar-islands,south andaman,744103,2023,1,77052,18209
andaman-&-nicobar-islands,south andaman,744103,2023,2,80112,18944
andaman-&-nicobar-islands,south andaman,744103,2023,3,83305,19673
andaman-&-nicobar-islands,south andaman,744103,2023,4,86348,20431
andhra-pradesh,visakhapatnam,517501,2018,1,497187,39884
andhra-pradesh,visakhapatnam,517501,2018,2,636052,53468
andhra-pradesh,visakhapatnam,517501,2018,3,769096,65157
andhra-pradesh,visakhapatnam,517501,2018,4,978288,82873
andhra-pradesh,visakhapatnam,517501,2019,1,1174517,100561
andhra-pradesh,visakhapatnam,517501,2019,2,1318740,113033
andhra-pradesh,visakhapatnam,517501,2019,3,1460464,124727
andhra-pradesh,visakhapatnam,517501,2019,4,1620235,136436
andhra-pradesh,visakhapatnam,517501,2020,1,1763581,146823
andhra-pradesh,visakhapatnam,517501,2020,2,1904719,156221
andhra-pradesh,visakhapatnam,517501,2020,3,2058346,166768
andhra-pradesh,visakhapatnam,517501,2020,4,2209658,178328
andhra-pradesh,visakhapatnam,517501,2021,1,2368081,190712
andhra-pradesh,visakhapatnam,517501,2021,2,2526830,203005
andhra-pradesh,visakhapatnam,517501,2021,3,2707931,216777
andhra-pradesh,visakhapatnam,517501,2021,4,2888774,230688
andhra-pradesh,visakhapatnam,517501,2022,1,3061324,243791
andhra-pradesh,visakhapatnam,517501,2022,2,3226029,256290
andhra-pradesh,visakhapatnam,517501,2022,3,3397514,269370
andhra-pradesh,visakhapatnam,517501,2022,4,3566854,282766
andhra-pradesh,visakhapatnam,517501,2023,1,3732544,295420
andhra-pradesh,visakhapatnam,517501,2023,2,3877504,306201
andhra-pradesh,visakhapatnam,517501,2023,3,4035323,317981
andhra-pradesh,visakhapatnam,517501,2023,4,4180797,328762
arunachal-pradesh,papum pare,791110,2018,1,7649,2316
arunachal-pradesh,papum pare,791110,2018,2,11418,3488
arunachal-pradesh,papum pare,791110,2018,3,16009,4872
arunachal-pradesh,papum pare,791110,2018,4,21342,6599
arunachal-pradesh,papum pare,791110,2019,1,26298,8094
arunachal-pradesh,papum pare,791110,2019,2,32800,10055
arunachal-pradesh,papum pare,791110,2019,3,38845,11834
arunachal-pradesh,papum pare,791110,2019,4,44746,13737
arunachal-pradesh,papum pare,791110,2020,1,51342,15867
arunachal-pradesh,papum pare,791110,2020,2,59968,18699
arunachal-pradesh,papum pare,791110,2020,3,69419,21772
arunachal-pradesh,papum pare,791110,2020,4,77936,24414
arunachal-pradesh,papum pare,791110,2021,1,84715,26578
arunachal-pradesh,papum pare,791110,2021,2,90871,28553
arunachal-pradesh,papum pare,791110,2021,3,97854,30734
arunachal-pradesh,papum pare,791110,2021,4,104806,32931
arunachal-pradesh,papum pare,791110,2022,1,111271,34915
arunachal-pradesh,papum pare,791110,2022,2,117568,36914
arunachal-pradesh,papum pare,791110,2022,3,124095,39026
arunachal-pradesh,papum pare,791110,2022,4,130306,40977
arunachal-pradesh,papum pare,791110,2023,1,136357,42898
arunachal-pradesh,papum pare,791110,2023,2,141879,44631
arunachal-pradesh,papum pare,791110,2023,3,147681,46438
arunachal-pradesh,papum pare,791110,2023,4,153071,48172
assam,kamrup metropolitan,781032,2018,1,87336,7209
assam,kamrup metropolitan,781032,2018,2,124720,10189
assam,kamrup metropolitan,781032,2018,3,164101,13555
assam,kamrup metropolitan,781032,2018,4,214212,17802
assam,kamrup metropolitan,781032,2019,1,255112,21003
assam,kamrup metropolitan,781032,2019,2,299219,24543
assam,kamrup metropolitan,781032,2019,3,340588,27912
assam,kamrup metropolitan,781032,2019,4,373761,30419
assam,kamrup metropolitan,781032,2020,1,412013,33205
assam,kamrup metropolitan,781032,2020,2,457023,36494
assam,kamrup metropolitan,781032,2020,3,499403,39646
assam,kamrup metropolitan,781032,2020,4,546458,43335
assam,kamrup metropolitan,781032,2021,1,589688,46783
assam,kamrup metropolitan,781032,2021,2,630676,49999
assam,kamrup metropolitan,781032,2021,3,677223,53594
assam,kamrup metropolitan,781032,2021,4,723960,57249
assam,kamrup metropolitan,781032,2022,1,767859,60632
assam,kamrup metropolitan,781032,2022,2,810057,63866
assam,kamrup metropolitan,781032,2022,3,854019,67280
assam,kamrup metropolitan,781032,2022,4,897245,70664
assam,kamrup metropolitan,781032,2023,1,938802,73878
assam,kamrup metropolitan,781032,2023,2,975409,76617
assam,kamrup metropolitan,781032,2023,3,1014178,79587
assam,kamrup metropolitan,781032,2023,4,1050970,82438
bihar,patna,800001,2018,1,425009,71092
bihar,patna,800001,2018,2,568657,94711
bihar,patna,800001,2018,3,684421,112494
bihar,patna,800001,2018,4,826399,134254
bihar,patna,800001,2019,1,964432,155763
bihar,patna,800001,2019,2,1076012,176131
bihar,patna,800001,2019,3,1180262,194197
bihar,patna,800001,2019,4,1289426,210421
bihar,patna,800001,2020,1,1397342,226061
bihar,patna,800001,2020,2,1506233,239180
bihar,patna,800001,2020,3,1625305,254577
bihar,patna,800001,2020,4,1752007,271953
bihar,patna,800001,2021,1,1881439,291064
bihar,patna,800001,2021,2,2010353,310396
bihar,patna,800001,2021,3,2156402,331994
bihar,patna,800001,2021,4,2303852,354049
bihar,patna,800001,2022,1,2443356,374585
bihar,patna,800001,2022,2,2577123,394289
bihar,patna,800001,2022,3,2716533,414926
bihar,patna,800001,2022,4,2854738,435858
bihar,patna,800001,2023,1,2988174,455854
bihar,patna,800001,2023,2,3102247,472016
bihar,patna,800001,2023,3,3224750,489967
bihar,patna,800001,2023,4,3335655,505940
chandigarh,chandigarh,160101,2018,1,86268,11805
chandigarh,chandigarh,160101,2018,2,115219,15846
chandigarh,chandigarh,160101,2018,3,143893,19810
chandigarh,chandigarh,160101,2018,4,177747,24670
chandigarh,chandigarh,160101,2019,1,209175,29177
chandigarh,chandigarh,160101,2019,2,240439,33226
chandigarh,chandigarh,160101,2019,3,267337,36777
chandigarh,chandigarh,160101,2019,4,289590,39986
chandigarh,chandigarh,160101,2020,1,312887,43456
chandigarh,chandigarh,160101,2020,2,336351,47100
chandigarh,chandigarh,160101,2020,3,362588,50901
chandigarh,chandigarh,160101,2020,4,391402,55221
chandigarh,chandigarh,160101,2021,1,419998,59366
chandigarh,chandigarh,160101,2021,2,448572,63492
chandigarh,chandigarh,160101,2021,3,480463,68033
chandigarh,chandigarh,160101,2021,4,512092,72637
chandigarh,chandigarh,160101,2022,1,541549,76960
chandigarh,chandigarh,160101,2022,2,569582,81030
chandigarh,chandigarh,160101,2022,3,598698,85368
chandigarh,chandigarh,160101,2022,4,627563,89650
chandigarh,chandigarh,160101,2023,1,654522,93655
chandigarh,chandigarh,160101,2023,2,678662,97213
chandigarh,chandigarh,160101,2023,3,704144,100857
chandigarh,chandigarh,160101,2023,4,727594,104350
chhattisgarh,raipur,492001,2018,1,135308,33697
chhattisgarh,raipur,492001,2018,2,185747,46075
chhattisgarh,raipur,492001,2018,3,231146,56931
chhattisgarh,raipur,492001,2018,4,289198,70803
chhattisgarh,raipur,492001,2019,1,351495,86083
chhattisgarh,raipur,492001,2019,2,405792,101202
chhattisgarh,raipur,492001,2019,3,455785,114627
chhattisgarh,raipur,492001,2019,4,506122,126984
chhattisgarh,raipur,492001,2020,1,559412,140048
chhattisgarh,raipur,492001,2020,2,616931,151787
chhattisgarh,raipur,492001,2020,3,679027,164803
chhattisgarh,raipur,492001,2020,4,743167,178877
chhattisgarh,raipur,492001,2021,1,800224,192280
chhattisgarh,raipur,492001,2021,2,855848,205399
chhattisgarh,raipur,492001,2021,3,917950,219691
chhattisgarh,raipur,492001,2021,4,979741,234198
chhattisgarh,raipur,492001,2022,1,1038105,247599
chhattisgarh,raipur,492001,2022,2,1093318,260351
chhattisgarh,raipur,492001,2022,3,1150501,273586
chhattisgarh,raipur,492001,2022,4,1205632,286884
chhattisgarh,raipur,492001,2023,1,1260366,299741
chhattisgarh,raipur,492001,2023,2,1308762,310425
chhattisgarh,raipur,492001,2023,3,1360842,322356
chhattisgarh,raipur,492001,2023,4,1407537,332868
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2018,1,32028,26888
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2018,2,43085,36053
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2018,3,55626,46381
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2018,4,69833,58055
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2019,1,83987,69568
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2019,2,94382,78132
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2019,3,105329,87039
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2019,4,117805,97116
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,1,130255,107112
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,2,146003,119858
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,3,160183,131460
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2020,4,177432,145541
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,1,192262,157679
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,2,206516,169433
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,3,222731,182708
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2021,4,239110,196135
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,1,254577,208830
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,2,269344,220980
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,3,284923,233674
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2022,4,300217,246264
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,1,314951,258320
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,2,328125,269152
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,3,341846,280334
dadra-&-nagar-haveli-&-daman-&-diu,dadra and nagar haveli,396230,2023,4,354944,291092
delhi,west,110059,2018,1,308558,95496
delhi,west,110059,2018,2,406877,124901
delhi,west,110059,2018,3,515854,156028
delhi,west,110059,2018,4,686653,206537
delhi,west,110059,2019,1,820526,246566
delhi,west,110059,2019,2,919096,274593
delhi,west,110059,2019,3,1008836,300007
delhi,west,110059,2019,4,1081496,320535
delhi,west,110059,2020,1,1160353,342152
delhi,west,110059,2020,2,1243875,365614
delhi,west,110059,2020,3,1343895,393571
delhi,west,110059,2020,4,1451042,423149
delhi,west,110059,2021,1,1559112,454201
delhi,west,110059,2021,2,1666267,485328
delhi,west,110059,2021,3,1785309,520096
delhi,west,110059,2021,4,1905278,555449
delhi,west,110059,2022,1,2017435,588266
delhi,west,110059,2022,2,2124626,619737
delhi,west,110059,2022,3,2235907,652328
delhi,west,110059,2022,4,2348063,685596
delhi,west,110059,2023,1,2453869,716856
delhi,west,110059,2023,2,2546575,744061
delhi,west,110059,2023,3,2641529,772107
delhi,west,110059,2023,4,2732926,798856
goa,north goa,403516,2018,1,57769,6466
goa,north goa,403516,2018,2,76192,8301
goa,north goa,403516,2018,3,95307,9997
goa,north goa,403516,2018,4,121001,12486
goa,north goa,403516,2019,1,147802,15021
goa,north goa,403516,2019,2,173002,17020
goa,north goa,403516,2019,3,197361,19191
goa,north goa,403516,2019,4,220385,21230
goa,north goa,403516,2020,1,244309,23160
goa,north goa,403001,2020,2,267533,24693
goa,north goa,403601,2020,3,294195,27208
goa,north goa,403601,2020,4,326479,30363
goa,north goa,403601,2021,1,352593,32812
goa,north goa,403601,2021,2,376703,35016
goa,north goa,403601,2021,3,403952,37507
goa,north goa,403601,2021,4,430814,39985
goa,north goa,403601,2022,1,456250,42284
goa,north goa,403601,2022,2,480353,44524
goa,north goa,403601,2022,3,504946,46781
goa,north goa,403601,2022,4,527826,49007
goa,north goa,403601,2023,1,550554,51090
goa,north goa,403601,2023,2,571111,52926
goa,north goa,403601,2023,3,593176,54900
goa,north goa,403601,2023,4,613836,56885
gujarat,ahmadabad,395006,2018,1,572811,72275
gujarat,ahmadabad,395006,2018,2,751746,94500
gujarat,ahmadabad,395006,2018,3,919252,113391
gujarat,ahmadabad,395006,2018,4,1212636,135881
gujarat,ahmadabad,395006,2019,1,1450100,157558
gujarat,ahmadabad,395006,2019,2,1656341,180042
gujarat,ahmadabad,395006,2019,3,1848860,198132
gujarat,ahmadabad,395006,2019,4,2015947,214322
gujarat,ahmadabad,395006,2020,1,2185983,230047
gujarat,ahmadabad,395006,2020,2,2384154,245129
gujarat,ahmadabad,395006,2020,3,2580178,259468
gujarat,ahmadabad,395006,2020,4,2787991,276969
gujarat,ahmadabad,395006,2021,1,2999575,297048
gujarat,ahmadabad,395006,2021,2,3209841,317597
gujarat,ahmadabad,395006,2021,3,3445024,340436
gujarat,ahmadabad,395006,2021,4,3679243,363595
gujarat,ahmadabad,395006,2022,1,3897869,385040
gujarat,ahmadabad,395006,2022,2,4105172,405477
gujarat,ahmadabad,395006,2022,3,4319512,426968
gujarat,ahmadabad,395006,2022,4,4530853,448463
gujarat,ahmadabad,395006,2023,1,4734630,468935
gujarat,ahmadabad,395006,2023,2,4913610,487460
gujarat,ahmadabad,395006,2023,3,5105557,506393
gujarat,ahmadabad,395006,2023,4,5282400,524949
haryana,gurugram,122001,2018,1,474081,82656
haryana,gurugram,122001,2018,2,621718,107275
haryana,gurugram,122001,2018,3,767369,130847
haryana,gurugram,122001,2018,4,967781,163556
haryana,gurugram,122001,2019,1,1159832,194366
haryana,gurugram,122001,2019,2,1307319,217913
haryana,gurugram,122001,2019,3,1447473,239679
